variable,count,mean,median,std,min,max,skew,kurtosis
ConvertedCompYearly,23928.0,101791.60372785022,75383.5,461934.46777619794,1.0,50000000.0,75.47445663402888,7053.986347251442
LogConvertedCompYearly,23928.0,10.846680129602534,11.230343635368673,1.5813004905310852,0.0,17.72753356339242,-2.576079626571076,9.994741561828494
