RemoteWork,RemoteWork_bin
"Hybrid (some in-person, leans heavy to flexibility)",1
"Hybrid (some remote, leans heavy to in-person)",0
In-person,0
Remote,1
"Your choice (very flexible, you can come in when you want or just as needed)",1
